Date,Open,High,Low,Close,Volume,SMA10,EMA10
2/2/2001,28.25,29.25,28.25,29.0,18054,28.075,27.86827171555808
2/5/2001,28.5,29.25,28.25,28.5,19389,28.25,27.983131403638424
2/6/2001,28.75,28.75,28.0,28.0,15097,28.275,27.986198421158708
2/7/2001,28.0,28.75,28.0,28.75,15992,28.4,28.125071435493485
2/9/2001,28.75,29.25,28.25,28.25,17006,28.3,28.147785719949212
2/12/2001,28.25,28.25,26.5,27.0,20916,28.15,27.939097407231174
2/13/2001,27.25,27.75,27.0,27.75,9003,28.075,27.90471606046187
2/14/2001,27.75,28.75,27.0,28.25,34657,28.2,27.96749495855971
2/15/2001,28.25,28.25,27.25,27.25,14285,28.1,27.837041329730667
2/16/2001,27.75,28.0,27.5,27.75,7533,28.05,27.821215633416
2/19/2001,27.0,27.25,27.0,27.0,10017,27.85,27.671903700067634
2/20/2001,27.25,27.75,27.0,27.75,20949,27.775,27.686103027328063
2/21/2001,27.5,27.75,27.0,27.0,15352,27.675,27.561357022359324
2/22/2001,27.0,27.25,26.5,27.25,15346,27.525,27.50474665465763
2/23/2001,27.25,28.75,27.25,28.75,41219,27.575,27.731156353810785
2/26/2001,29.25,29.25,28.25,28.5,22351,27.725,27.87094610766337
2/27/2001,28.75,29.0,28.25,28.75,13332,27.825,28.03077408808821
2/28/2001,28.75,29.25,28.5,28.75,10744,27.875,28.161542435708533
3/1/2001,28.5,29.0,28.0,28.0,12166,27.95,28.132171083761524
3/2/2001,27.5,27.75,26.5,26.5,16549,27.825,27.835412704895788
3/5/2001,26.25,26.25,24.5,25.0,31691,27.625,27.319883122187463
3/6/2001,25.25,25.5,24.75,24.75,7270,27.325,26.852631645426104
3/7/2001,24.75,25.75,24.75,25.75,7408,27.2,26.65215316443954
3/8/2001,26.0,26.25,24.5,24.5,12507,26.925,26.260852589086895
3/9/2001,24.75,26.0,24.75,26.0,14743,26.65,26.213424845616547
3/12/2001,25.5,27.5,25.25,27.0,32747,26.5,26.3564385100499
3/13/2001,26.25,26.75,26.25,26.75,13273,26.3,26.42799514458628
3/14/2001,27.25,27.5,26.0,26.0,10431,26.025,26.35017784557059
3/15/2001,25.0,25.25,24.75,25.25,15236,25.75,26.1501455100123
3/16/2001,25.25,25.25,24.5,24.5,11206,25.55,25.850119053646424
3/19/2001,24.5,24.75,24.25,24.25,11929,25.475,25.5591883166198
3/20/2001,24.75,24.75,24.25,24.75,4431,25.475,25.412063168143472
3/21/2001,24.25,24.5,23.5,24.25,12668,25.325,25.200778955753748
3/22/2001,23.75,24.25,23.75,23.75,7801,25.25,24.937000963798518
3/23/2001,23.75,24.25,23.75,24.0,5688,25.05,24.766637152198786
3/26/2001,24.25,24.25,24.0,24.0,3573,24.75,24.627248579071733
3/27/2001,24.0,24.25,24.0,24.0,6014,24.475,24.51320338287687
3/28/2001,24.25,24.25,23.5,23.5,5834,24.225,24.328984585990167
3/29/2001,23.5,23.75,23.25,23.5,3501,24.05,24.178260115810136
3/30/2001,23.75,24.0,23.5,23.5,4875,23.95,24.054940094753746
4/2/2001,23.5,24.0,23.5,23.75,7561,23.9,23.999496441162158
4/3/2001,23.75,24.0,23.25,23.25,6396,23.75,23.863224360950856
4/4/2001,22.75,22.75,22.0,22.0,19772,23.525,23.524456295323425
4/5/2001,22.25,22.25,21.75,22.25,10974,23.375,23.292736968900986
4/9/2001,22.25,22.5,21.75,21.75,3834,23.15,23.012239338191712
